"r","g","b"
"8","150","255"
"255","255","255"
"153","153","153"
"0","53","128"
"153","0","0"
"204","204","204"
"68","68","68"
"249","249","249"
"34","34","34"
"119","155","202"
"242","222","222"
"235","204","209"
"169","68","66"
"0","0","102"
"119","136","170"
"254","186","2"
"238","238","238"
"0","0","0"
"242","244","248"
"102","153","0"
"0","153","0"
"102","102","102"
"0","117","204"
"3","56","112"
"0","133","222"
"8","148","255"
"255","212","212"
"214","225","239"
"51","153","0"
"201","217","239"
"127","182","70"
"252","249","249"
"253","226","157"
"233","160","29"
"180","226","246"
"244","249","255"
"60","179","231"
"170","170","170"
"51","51","51"
"191","19","34"
"136","1","13"
"18","70","144"
"23","73","142"
"221","221","221"
"27","39","71"
"221","173","22"
"136","136","136"
"204","0","0"
"0","159","227"
"2","133","189"
"206","227","254"
"1","34","117"
"255","238","192"
"81","71","33"
"51","153","51"
"245","245","245"
"237","109","33"
"230","237","246"
"254","226","158"
"238","148","148"
"240","134","71"
"0","174","235"
"255","183","56"
"241","152","84"
"243","179","177"
"229","40","34"
"177","86","32"
"249","195","162"
"184","7","5"
"240","240","240"
"142","56","5"
"197","212","233"
"255","221","129"
"255","240","196"
"238","241","248"
"227","227","227"
"203","213","230"
"232","117","36"
"53","94","151"
"206","213","224"
"21","94","171"
"242","244","246"
"226","237","249"
"0","49","129"
"2","33","76"
"237","237","237"
"195","229","244"
"119","155","201"
"254","186","10"
"252","233","233"
"245","190","191"
"85","175","50"
"108","150","208"
"255","202","86"
"255","187","57"
"218","163","0"
"122","122","122"
"94","175","31"
"85","85","85"
"77","182","26"
"231","231","231"
"233","107","107"
"53","53","53"
"83","83","83"
"243","243","249"
"227","227","225"
"144","144","144"
"114","114","114"
"250","255","189"
"242","242","242"
"205","235","142"
"135","174","51"
"63","75","37"
"138","138","138"
"3","49","114"
"0","31","74"
"245","200","39"
"201","158","0"
"228","178","0"
"206","217","235"
"110","134","150"
"124","144","166"
"163","177","191"
"229","41","35"
"254","186","1"
"229","233","237"
"226","165","0"
"255","102","0"
"254","244","221"
"196","210","228"
"207","219","234"
"250","226","208"
"255","245","237"
"164","76","32"
"239","108","10"
"245","182","140"
"255","254","224"
"170","0","0"
"209","209","209"
"187","187","187"
"181","200","225"
"229","227","223"
"89","179","81"
"203","1","15"
"133","133","133"
"200","200","200"
"119","119","119"
"209","220","240"
"128","128","128"
"237","0","0"
"102","153","204"
"229","244","222"
"127","127","127"
"187","189","190"
"86","86","86"
"244","244","244"
"0","158","232"
"137","120","78"
"0","93","138"
"0","117","11"
"252","252","252"
"216","221","232"
"130","156","45"
"185","74","72"
"238","252","118"
"247","247","247"
"59","89","152"
"41","68","126"
"26","53","110"
"91","116","168"
"93","184","82"
"190","200","210"
"123","189","101"
"62","72","83"
"53","126","189"
"40","94","142"
"229","234","242"
"239","242","247"
"246","246","246"
"179","0","0"
"83","124","180"
"255","237","188"
"238","174","1"
"70","176","211"
"255","249","231"
"150","178","217"
"255","246","191"
"255","211","36"
"102","204","0"
"112","183","76"
"51","204","0"
"251","227","228"
